timestamp,mood,genero,tempo,feedback
2026-05-27T19:19:45,"um bom filme de ação e drama
",Ação | Drama,120,Gostei
2026-05-27T19:19:47,"um bom filme de ação e drama
",Ação | Drama,120,Não gostei
2026-05-27T19:19:48,"um bom filme de ação e drama
",Ação | Drama,120,Gostei
